distance,starrating,ratings,hotel_id,offer,offer_cat,holiday,nights,price_per_night
1.4481,4,3.9,316,1,15-50% offer,0,1,166
14.963700000000001,4,4.5,253,1,15-50% offer,0,1,167
1.2872000000000001,3.5,4.4,7,1,15-50% offer,0,1,167
0.32180000000000003,3,4,209,0,0% no offer,0,1,167
0.6436000000000001,3,3.5,123,1,15-50% offer,0,1,167
0.8045,3,4.1,241,1,50%-75% offer,0,1,168
8.3668,4,3.7,45,1,15-50% offer,0,1,168
0.16090000000000002,3,4,188,1,50%-75% offer,0,1,169
1.609,4,4.3,286,1,15-50% offer,0,1,172
2.7353,4,4.1,17,1,50%-75% offer,0,1,172
1.2872000000000001,4,4,129,1,15-50% offer,0,1,172
2.0917,4,4,409,1,15-50% offer,0,1,172
0.48269999999999996,3,3.7,384,1,50%-75% offer,0,1,172
7.723199999999999,3,4.3,38,1,15-50% offer,0,1,176
0.6436000000000001,3,3.9,358,1,50%-75% offer,0,1,176
1.7699,3,3.7,231,1,15-50% offer,0,1,176
0.8045,3,4.6,257,1,15-50% offer,0,1,177
0.32180000000000003,4,4.1,365,1,50%-75% offer,0,1,177
0.8045,4,3.7,148,1,15-50% offer,0,1,177
1.7699,4,4.3,171,1,15-50% offer,0,1,178
0.32180000000000003,3,4,368,1,15-50% offer,0,1,178
1.609,4,4.4,173,1,50%-75% offer,0,1,180
0.6436000000000001,4,4,117,1,15-50% offer,0,1,184
0.8045,4,4,168,1,15-50% offer,0,1,184
9.010399999999999,4,4,269,1,15-50% offer,0,1,184
1.609,4,4.3,174,1,15-50% offer,0,1,185
1.609,4,3.9,57,1,15-50% offer,0,1,186
1.1262999999999999,4,4.5,243,1,15-50% offer,0,1,187
0.32180000000000003,3,4,370,1,15-50% offer,0,1,187
0.8045,4,3.9,146,1,15-50% offer,0,1,188
0.8045,3,3.5,103,1,1-15% offer,0,1,188
0.16090000000000002,4,4.3,180,1,1-15% offer,0,1,197
0.6436000000000001,3,4.8,357,1,15-50% offer,0,1,198
0.6436000000000001,3,4,355,1,15-50% offer,0,1,198
0.9653999999999999,4,4.3,206,0,0% no offer,0,1,203
0.48269999999999996,4,4,159,1,15-50% offer,0,1,203
1.2872000000000001,4,4.1,297,1,15-50% offer,0,1,204
0.48269999999999996,5,4,356,1,50%-75% offer,0,1,206
4.6661,4,4.5,24,0,0% no offer,0,1,207
2.7353,5,4.4,16,1,50%-75% offer,0,1,207
0.16090000000000002,4,4,190,1,15-50% offer,0,1,207
1.4481,4,4.1,314,1,15-50% offer,0,1,211
0.8045,4,3.5,167,1,15-50% offer,0,1,214
1.4481,4,4.8,170,0,0% no offer,0,1,215
1.609,4,4.4,9,1,1-15% offer,0,1,218
0.48269999999999996,4,4.9,116,1,50%-75% offer,0,1,219
2.0917,4,4.9,420,1,15-50% offer,0,1,219
1.7699,4,4.6,404,1,15-50% offer,0,1,219
2.5744000000000002,3,4.5,339,0,0% no offer,0,1,219
0.8045,4,3.7,105,1,1-15% offer,0,1,219
0.6436000000000001,5,4.4,376,1,15-50% offer,0,1,220
0.6436000000000001,5,4.5,127,1,15-50% offer,0,1,222
1.7699,4,4.5,287,1,15-50% offer,0,1,226
0.9653999999999999,4,4.4,371,1,15-50% offer,0,1,228
0.8045,5,4.3,201,1,50%-75% offer,0,1,228
0.6436000000000001,4,4,346,1,1-15% offer,0,1,230
1.1262999999999999,3.5,4.5,264,1,15-50% offer,0,1,234
0.32180000000000003,4,4.5,369,1,15-50% offer,0,1,236
11.906600000000001,4,4.5,413,1,15-50% offer,0,1,242
0.16090000000000002,4,4,179,1,15-50% offer,0,1,243
0.48269999999999996,4,4.4,210,1,15-50% offer,0,1,254
0.32180000000000003,3.5,4.8,363,1,15-50% offer,0,1,259
0.16090000000000002,5,4.3,178,1,15-50% offer,0,1,259
2.7353,5,4.5,223,1,1-15% offer,0,1,261
2.0917,4,4.5,219,1,15-50% offer,0,1,262
1.4481,5,4.1,313,1,50%-75% offer,0,1,268
11.4239,4,4.5,412,1,1-15% offer,0,1,277
0.6436000000000001,5,4.5,374,1,1-15% offer,0,1,281
0.16090000000000002,5,4.1,211,1,15-50% offer,0,1,292
0.48269999999999996,4.5,4.5,367,1,1-15% offer,0,1,295
7.8841,4,4.3,40,0,0% no offer,0,1,300
0.8045,4,4.8,112,1,15-50% offer,0,1,312
0.48269999999999996,4,4.8,111,1,15-50% offer,0,1,324
0.48269999999999996,4,4.6,115,1,15-50% offer,0,1,342
0.6436000000000001,5,4.8,118,1,15-50% offer,0,1,355
0.8045,5,4.8,137,1,50%-75% offer,0,1,363
0.6436000000000001,5,4.8,133,1,15-50% offer,0,1,364
0.8045,5,4.8,192,1,15-50% offer,0,1,374
0.9653999999999999,5,4.3,138,0,0% no offer,0,1,377
0.32180000000000003,5,4.6,196,1,1-15% offer,0,1,379
1.7699,5,4.5,140,1,15-50% offer,0,1,413
0.6436000000000001,5,4.6,126,1,15-50% offer,0,1,443
1.9307999999999998,5,4.8,319,1,50%-75% offer,0,1,488
